resample_id,seed,sample_size,unique_source_transactions,sampling_method,index_sha256,minimum_support,minimum_support_count,maximum_length,status,failure_reason,frequent_itemset_count,raw_rule_count,candidate_rules_matched,candidate_rules_present,runtime_seconds,rss_before_bytes,rss_after_bytes,approximate_rss_delta_bytes,memory_measurement
1,51001,17901,11293,transaction rows sampled with replacement,bb8e908f17af1d8fc018d2920300b29b43082a5f5d62713c51c5d5425c14ade8,0.005,90,3,success,,17476,58126,2808,2563,13.667317699990235,113418240,162758656,49340416,approximate process RSS before/after; not peak memory
2,51002,17901,11332,transaction rows sampled with replacement,c9954a506db7b2e5c38497fe5c3b08d0ada122a7acfca04056615bc690847424,0.005,90,3,success,,17037,56714,2733,2403,18.473603400052525,146300928,166854656,20553728,approximate process RSS before/after; not peak memory
3,51003,17901,11371,transaction rows sampled with replacement,7c9c3e9238def2120f64b577fe4d2b7bf3d749be11b5dabfe18e160ecaed335f,0.005,90,3,success,,18877,63866,2970,2574,18.148844299954362,145063936,173023232,27959296,approximate process RSS before/after; not peak memory
4,51004,17901,11308,transaction rows sampled with replacement,2b51e7dc763b9b0c487ff12816c72a16d4b6b6e1444ed74256a206d003c6f73c,0.005,90,3,success,,20820,74868,3113,2938,19.924250399926677,162439168,181690368,19251200,approximate process RSS before/after; not peak memory
5,51005,17901,11291,transaction rows sampled with replacement,b90f35efd91dca6605a629737549e6a28ab185792cf1870890bda447524a8ea4,0.005,90,3,success,,23752,85478,3168,2841,22.298111999989487,164286464,194949120,30662656,approximate process RSS before/after; not peak memory
6,51006,17901,11313,transaction rows sampled with replacement,55e7ae597e2e6f8824c2aa1466d539dcd840d4a8880c5b7f2e62ac362741a548,0.005,90,3,success,,16120,52948,2653,2326,16.182949600042775,169664512,198430720,28766208,approximate process RSS before/after; not peak memory
7,51007,17901,11350,transaction rows sampled with replacement,2ad8ad8648a6d26f6ef59cf3956cc7ab3b27fd18ed8d8bd92f3b91872f309ee2,0.005,90,3,success,,26038,97782,3265,3095,22.214968500076793,185159680,213229568,28069888,approximate process RSS before/after; not peak memory
8,51008,17901,11323,transaction rows sampled with replacement,b33dd84372cdf189b99573016f0874b2cdfbe34cae159f643d44d8d5e40a3142,0.005,90,3,success,,15083,50012,2503,2343,14.814202999928966,195575808,209088512,13512704,approximate process RSS before/after; not peak memory
9,51009,17901,11320,transaction rows sampled with replacement,ee52c3f875eefacfefab93344f3807c17f63ef51750bb04556acf9c850d833d9,0.005,90,3,success,,20932,73012,3022,2658,21.99016639997717,194015232,215552000,21536768,approximate process RSS before/after; not peak memory
10,51010,17901,11307,transaction rows sampled with replacement,8485d949c9477d3935cd5b4195a4678102962575ebf99ab6ad8687d6cd8f4179,0.005,90,3,success,,24146,88308,3194,2874,23.033097599982284,196349952,227196928,30846976,approximate process RSS before/after; not peak memory
11,51011,17901,11281,transaction rows sampled with replacement,892f0c9e871094ef39288337651d4ce4db6c1fa7de9afa108b2f445ec350b81e,0.005,90,3,success,,19900,69932,3003,2691,19.581787100061774,212439040,222306304,9867264,approximate process RSS before/after; not peak memory
12,51012,17901,11288,transaction rows sampled with replacement,84b6938b45cb4754ac4afe5c363b49242b2f073c2c43379db0556fe821d31e3d,0.005,90,3,success,,18846,64702,2929,2709,19.205367299960926,203558912,232026112,28467200,approximate process RSS before/after; not peak memory
13,51013,17901,11304,transaction rows sampled with replacement,43a20fed0103a63cde4064eef5d09762a6a0854da2ac1debd92b61ee2821f256,0.005,90,3,success,,22366,80510,3106,2874,21.256209300016053,210776064,234774528,23998464,approximate process RSS before/after; not peak memory
14,51014,17901,11318,transaction rows sampled with replacement,1c4cb462035e1d9a743f6be9a36ae7faaa699fb7aeedcb9ee2b6d5b3ac0d6dcb,0.005,90,3,success,,15830,51750,2457,2236,17.25981839990709,218255360,231833600,13578240,approximate process RSS before/after; not peak memory
15,51015,17901,11351,transaction rows sampled with replacement,4ad06762e1725fb6d0cbffe8580d524d4292832cffa79d897a75d4b195454e2b,0.005,90,3,success,,23025,83394,3175,2953,22.218548199976794,223518720,239648768,16130048,approximate process RSS before/after; not peak memory
16,51016,17901,11262,transaction rows sampled with replacement,0dc99c0d4bd81edd41094a85fcb83e37e401f0e470da8c09d9079de22636b2c8,0.005,90,3,success,,18678,64174,2958,2727,17.74999309994746,220438528,241905664,21467136,approximate process RSS before/after; not peak memory
17,51017,17901,11308,transaction rows sampled with replacement,ef7360ce4074d6a37a5691a0f5f964b06d093ce76bba9e6f7adc1bc885fba29a,0.005,90,3,success,,19082,65816,2945,2692,18.41130899998825,234893312,248586240,13692928,approximate process RSS before/after; not peak memory
18,51018,17901,11248,transaction rows sampled with replacement,2750ecd246b37cb8a91bd851aaf08656cdd0d2e95016a4092b1462d9cfdb62c2,0.005,90,3,success,,18336,61814,2893,2642,18.545849399990402,235716608,243830784,8114176,approximate process RSS before/after; not peak memory
19,51019,17901,11309,transaction rows sampled with replacement,b5ffa0223a94655c1d237bcb3da8ddd77190462eb4c6a018386bb9d19b335bf1,0.005,90,3,success,,16961,57164,2783,2561,17.592602799995802,234340352,246714368,12374016,approximate process RSS before/after; not peak memory
20,51020,17901,11306,transaction rows sampled with replacement,ca573bb4c1f050c6cb8f7ced9347f11f86385531b946e045cd867d713941263b,0.005,90,3,success,,25196,92308,3257,2828,23.329253599978983,231342080,253095936,21753856,approximate process RSS before/after; not peak memory
