example_id,input_basket_codes,input_basket_descriptions,recommendation_rank,recommended_product_code,recommended_product_description,matching_rule,support,support_count,confidence,lift,stability_presence_rate,stability_category,evidence_tier,matching_rule_count,explanation
1,"[""22697""]","[""GREEN REGENCY TEACUP AND SAUCER""]",1,22699,ROSES REGENCY TEACUP AND SAUCER,22697 => 22699,0.0391039606725881,700,0.7510729613733905,14.06376263759944,1.0,Very stable,Tier A,1,"Rule 22697 => 22699 matched the current basket. Confidence=0.751, Lift=14.064, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
2,"[""22698""]","[""PINK REGENCY TEACUP AND SAUCER""]",1,22697,GREEN REGENCY TEACUP AND SAUCER,22698 => 22697,0.0321769733534439,576,0.8205128205128204,15.759656652360514,1.0,Very stable,Tier A,1,"Rule 22698 => 22697 matched the current basket. Confidence=0.821, Lift=15.760, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
2,"[""22698""]","[""PINK REGENCY TEACUP AND SAUCER""]",2,22699,ROSES REGENCY TEACUP AND SAUCER,22698 => 22699,0.0304452265236578,545,0.7763532763532763,14.53713389121339,1.0,Very stable,Tier A,1,"Rule 22698 => 22699 matched the current basket. Confidence=0.776, Lift=14.537, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
3,"[""22698"", ""22699""]","[""PINK REGENCY TEACUP AND SAUCER"", ""ROSES REGENCY TEACUP AND SAUCER""]",1,22697,GREEN REGENCY TEACUP AND SAUCER,22698 | 22699 => 22697,0.0274844980727333,492,0.9027522935779816,17.33923691774619,1.0,Very stable,Tier A,3,"Rule 22698 | 22699 => 22697 matched the current basket. Confidence=0.903, Lift=17.339, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
4,"[""22697"", ""22698""]","[""GREEN REGENCY TEACUP AND SAUCER"", ""PINK REGENCY TEACUP AND SAUCER""]",1,22699,ROSES REGENCY TEACUP AND SAUCER,22697 | 22698 => 22699,0.0274844980727333,492,0.8541666666666669,15.994181485355654,1.0,Very stable,Tier A,3,"Rule 22697 | 22698 => 22699 matched the current basket. Confidence=0.854, Lift=15.994, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
5,"[""21931"", ""22386""]","[""JUMBO STORAGE BAG SUKI"", ""JUMBO BAG PINK POLKADOT""]",1,85099B,JUMBO BAG RED RETROSPOT,21931 | 22386 => 85099B,0.0226244343891402,405,0.801980198019802,7.419249366797145,1.0,Very stable,Tier A,1,"Rule 21931 | 22386 => 85099B matched the current basket. Confidence=0.802, Lift=7.419, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
6,"[""21931"", ""22411""]","[""JUMBO STORAGE BAG SUKI"", ""JUMBO SHOPPER VINTAGE RED PAISLEY""]",1,85099B,JUMBO BAG RED RETROSPOT,21931 | 22411 => 85099B,0.0214513155689626,384,0.7485380116959064,6.9248470012239896,1.0,Very stable,Tier A,1,"Rule 21931 | 22411 => 85099B matched the current basket. Confidence=0.749, Lift=6.925, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
7,"[""22578""]","[""WOODEN STAR CHRISTMAS SCANDINAVIAN""]",1,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578 => 22577,0.0205575107535891,368,0.7682672233820459,27.019158282440085,1.0,Very stable,Tier A,1,"Rule 22578 => 22577 matched the current basket. Confidence=0.768, Lift=27.019, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
8,"[""22386"", ""22411""]","[""JUMBO BAG PINK POLKADOT"", ""JUMBO SHOPPER VINTAGE RED PAISLEY""]",1,85099B,JUMBO BAG RED RETROSPOT,22386 | 22411 => 85099B,0.0204457851516675,366,0.8061674008810573,7.457985862104293,1.0,Very stable,Tier A,1,"Rule 22386 | 22411 => 85099B matched the current basket. Confidence=0.806, Lift=7.458, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
9,"[""22423"", ""22699""]","[""REGENCY CAKESTAND 3 TIER"", ""ROSES REGENCY TEACUP AND SAUCER""]",1,22697,GREEN REGENCY TEACUP AND SAUCER,22423 | 22699 => 22697,0.0200547455449416,359,0.7907488986784141,15.18797857858615,1.0,Very stable,Tier A,2,"Rule 22423 | 22699 => 22697 matched the current basket. Confidence=0.791, Lift=15.188, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
10,"[""84596F""]","[""SMALL MARSHMALLOWS PINK BOWL""]",1,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,84596F => 84596B,0.0187140383218814,335,0.7790697674418605,27.345348837209304,1.0,Very stable,Tier A,1,"Rule 84596F => 84596B matched the current basket. Confidence=0.779, Lift=27.345, Bootstrap presence=1.00, Tier A. This is a non-personalized association, not a purchase prediction or causal claim."
